iter	Passed	Remaining
0	112	112230
1	114	57069
2	116	38635
3	118	29383
4	119	23830
5	121	20137
6	123	17480
7	124	15474
8	126	13889
9	127	12649
10	129	11630
11	130	10777
12	132	10058
13	134	9446
14	135	8924
15	137	8468
16	139	8062
17	141	7701
18	143	7389
19	144	7090
20	146	6829
21	148	6600
22	150	6376
23	151	6173
24	153	5988
25	155	5819
26	157	5662
27	158	5517
28	160	5383
29	162	5253
30	164	5131
31	165	5014
32	167	4907
33	169	4808
34	171	4718
35	173	4633
36	175	4556
37	176	4478
38	178	4403
39	180	4333
40	182	4273
41	184	4210
42	186	4151
43	188	4089
44	189	4029
45	191	3972
46	193	3923
47	195	3871
48	197	3825
49	198	3779
50	200	3735
51	202	3697
52	205	3663
53	207	3626
54	208	3588
55	210	3553
56	212	3521
57	215	3494
58	217	3470
59	219	3446
60	222	3418
61	224	3401
62	227	3376
63	228	3344
64	230	3318
65	233	3297
66	234	3271
67	237	3250
68	239	3233
69	241	3210
70	243	3188
71	245	3169
72	248	3149
73	250	3128
74	252	3111
75	254	3091
76	256	3072
77	258	3056
78	260	3038
79	262	3018
80	264	2998
81	266	2984
82	268	2966
83	270	2949
84	272	2933
85	274	2914
86	275	2894
87	277	2876
88	279	2859
89	281	2842
90	282	2826
91	284	2812
92	286	2797
93	288	2781
94	290	2766
95	292	2753
96	294	2740
97	296	2726
98	298	2714
99	300	2700
100	301	2687
101	303	2673
102	305	2663
103	307	2651
104	309	2638
105	311	2629
106	313	2618
107	315	2606
108	317	2595
109	319	2588
110	321	2577
111	324	2569
112	326	2560
113	328	2549
114	329	2539
115	332	2530
116	333	2520
117	335	2509
118	338	2504
119	340	2495
120	342	2487
121	344	2480
122	346	2471
123	348	2460
124	350	2450
125	351	2440
126	353	2430
127	355	2420
128	357	2410
129	358	2401
130	360	2392
131	362	2382
132	364	2374
133	366	2366
134	367	2356
135	369	2347
136	371	2342
137	373	2335
138	375	2326
139	378	2322
140	380	2317
141	382	2309
142	384	2303
143	386	2297
144	388	2291
145	390	2284
146	392	2277
147	394	2270
148	396	2262
149	398	2256
150	400	2250
151	402	2243
152	404	2237
153	406	2231
154	408	2225
155	410	2218
156	412	2213
157	414	2206
158	416	2200
159	418	2195
160	420	2189
161	422	2183
162	424	2178
163	426	2173
164	428	2167
165	430	2161
166	432	2156
167	434	2149
168	435	2143
169	438	2138
170	439	2131
171	441	2125
172	443	2122
173	445	2116
174	447	2110
175	449	2104
176	451	2099
177	453	2093
178	455	2088
179	457	2083
180	459	2078
181	461	2073
182	463	2067
183	465	2063
184	467	2059
185	469	2054
186	471	2051
187	474	2047
188	475	2041
189	478	2038
190	480	2033
191	481	2028
192	483	2023
193	486	2019
194	487	2014
195	490	2010
196	492	2006
197	494	2001
198	495	1995
199	497	1991
200	499	1986
201	501	1981
202	503	1977
203	505	1973
