iter	Passed	Remaining
0	136	135908
1	137	68839
2	139	46499
3	141	35314
4	143	28582
5	145	24057
6	146	20819
7	148	18400
8	149	16513
9	151	14973
10	152	13740
11	154	12713
12	156	11846
13	157	11102
14	159	10459
15	160	9892
16	162	9391
17	164	8947
18	165	8548
19	167	8189
20	168	7864
21	170	7568
22	171	7299
23	173	7052
24	175	6826
25	176	6618
26	178	6426
27	179	6246
28	181	6078
29	183	5923
30	184	5777
31	186	5640
32	187	5503
33	189	5381
34	191	5266
35	192	5159
36	194	5058
37	196	4966
38	197	4874
39	199	4786
40	201	4704
41	202	4625
42	204	4549
43	206	4477
44	207	4407
45	209	4342
46	211	4279
47	212	4218
48	214	4158
49	215	4102
50	217	4048
51	219	3995
52	220	3944
53	222	3895
54	224	3850
55	225	3809
56	227	3769
57	229	3730
58	231	3696
59	233	3658
60	235	3620
61	236	3582
62	238	3545
63	240	3513
64	242	3481
65	243	3452
66	245	3421
67	247	3391
68	249	3361
69	250	3331
70	252	3301
71	254	3273
72	255	3248
73	257	3223
74	259	3199
75	261	3175
76	262	3151
77	264	3126
78	266	3103
79	267	3080
80	269	3058
81	271	3036
82	272	3015
83	274	2994
84	276	2974
85	277	2954
86	279	2934
87	281	2915
88	282	2896
89	284	2877
90	286	2859
91	287	2841
92	289	2824
93	291	2806
94	292	2789
95	294	2772
96	296	2755
97	297	2739
98	299	2723
99	301	2709
100	302	2694
101	304	2680
102	306	2665
103	307	2651
104	309	2636
105	310	2622
106	312	2608
107	314	2594
108	315	2581
109	317	2568
110	319	2555
111	320	2542
112	322	2529
113	323	2517
114	325	2504
115	327	2493
116	328	2481
117	330	2471
118	332	2461
119	334	2450
120	335	2440
121	337	2429
122	339	2420
123	341	2410
124	342	2400
125	344	2392
126	346	2383
127	348	2373
128	350	2363
129	351	2355
130	353	2346
131	355	2336
132	356	2326
133	358	2317
134	360	2307
135	361	2299
136	363	2290
137	365	2282
138	367	2274
139	369	2266
140	370	2258
141	372	2249
142	373	2240
143	375	2232
144	377	2224
145	379	2217
146	380	2210
147	382	2202
148	384	2195
149	386	2187
150	387	2180
151	389	2172
152	391	2164
153	392	2157
154	394	2149
155	395	2141
156	397	2134
157	399	2126
158	400	2119
159	402	2112
160	404	2105
161	405	2098
162	407	2092
163	409	2085
164	410	2078
165	412	2072
166	414	2065
167	415	2058
168	417	2052
169	419	2045
170	420	2039
171	422	2033
172	424	2028
173	426	2023
174	427	2017
175	429	2011
176	431	2005
177	432	1999
178	434	1993
179	436	1987
180	438	1982
181	439	1976
182	441	1971
